SITE;HAB;YEAR;REEF;PC1_INTERACAO;PC2_INTERACAO;SUR_TURF;SUR_CCA;SUR_MACROALGAE;SUR_CYANO;SUR_PALYTHOA;SUR_ABIOTIC
ITA5;PA;2006;ITA;-1,52395737;-0,519686089;55,69007264;0;0;44,30992736;0;0
ITA5;PA;2007;ITA;2,110653726;-1,418825845;100;0;0;0;0;0
ITA5;PA;2008;ITA;0,297553069;-0,161348079;49,76547842;0;0;0;0;0
ITA6;PA;2006;ITA;0,843418347;0,598272077;69,14651494;0;0;15,57610242;0;15,27738265
ITA6;PA;2007;ITA;2,114031457;-0,829895174;94,70569418;0;0;0;0;5,287907869
ITA6;PA;2008;ITA;2,117962985;-0,281653817;89,79400749;0;0;0;0;10,21535581
ITA6;TP;2006;ITA;1,138017219;-0,744252827;73,05172803;0;0;0;0;0
ITA6;TP;2007;ITA;1,563104848;1,342175638;63,13060818;0;0;0;0;21,29611167
ITA6;TP;2008;ITA;1,447421307;1,71862357;57,22621185;0;0;0;0;23,94524237
ITA7;PA;2006;ITA;-2,399190605;-0,329203647;44,05594406;5,743978244;0;49,55322455;0;0
ITA7;PA;2007;ITA;0,309506302;-1,128909025;75,47205798;24,52794202;0;0;0;0
ITA7;PA;2008;ITA;0,764242705;4,025962327;47,21132898;0;44,31372549;0;0;8,461873638
ITA7;TP;2006;ITA;1,077765372;-1,252420755;85,93023256;14,0620155;0;0;0;0
ITA7;TP;2007;ITA;0,42599478;-0,250428955;53,32413793;0;0;0;0;0
ITA7;TP;2008;ITA;2,128562947;1,602465462;72,85194514;0;0;0;0;27,13126224
MVE;RR;2006;ARC;-0,689960849;-0,835604651;62,04005553;23,43994241;0;12,08890374;0;0
MVE;RR;2007;ARC;1,051258083;-1,033226361;82,1184228;2,061403509;0;7,337188071;0;0
MVE;RR;2008;ARC;-0,034983806;3,335014274;30,16765781;12,05477032;19,36922061;0;0;19,48763251
PA2;PA;2006;UCR;-0,190007639;-0,410792745;62,47410222;18,78348616;0;8,650484051;0;4,146141215
PA2;PA;2007;UCR;0,04763682;-0,919410212;70,22521539;25,01226078;0;2,059465931;0;1,092797634
PA2;PA;2008;UCR;0,00735132;-0,776054726;69,062541;23,70376242;0;4,074609479;0;2,326885537
PA2;TP;2006;UCR;-1,656932953;-0,6115877;48,10885999;31,64726309;0;15,52202567;0;0
PA2;TP;2007;UCR;-0,14667826;-0,864968296;67,53163411;15,69421934;0;10,87296675;0;0
PA2;TP;2008;UCR;-0,673589286;-0,72849437;66,00281963;0;0;33,90042854;0;0
PAB1;PA;2006;PAB;0,138520621;-0,846605213;70,92753263;6,442545083;0;14,85307689;0;0
PAB1;PA;2007;PAB;-0,284215395;-0,872226513;68,54636694;11,83541469;0;17,80130691;0;0
PAB1;PA;2008;PAB;-2,572847374;0,890021073;31,42722551;21,11263906;13,39389861;32,54750802;0;0
PAB1;TP;2006;PAB;-3,169915459;1,002034706;19,60826049;22,25546134;0;42,06641598;0;10,44977169
PAB1;TP;2007;PAB;-0,507732583;-0,548730699;61,72654676;4,051073132;0;27,11602637;7,024733269;0
PAB1;TP;2008;PAB;-1,30339411;1,025031322;39,79956665;5,568044566;9,331210191;31,16089512;9,198943662;3,713375796
PAB2;PA;2006;PAB;0,058106589;-0,911181363;74,9813572;0;0;25,02609993;0;0
PAB2;PA;2007;PAB;0,864965907;-1,110919405;84,8225602;0;0;15,19328264;0;0
PAB2;PA;2008;PAB;-2,761254358;-0,203969033;40,27113238;0;0;59,1307815;0;0
PAB2;TP;2006;PAB;-0,703970018;-0,528545712;54,66322416;13,14283282;0;14,96803233;0;0
PAB2;TP;2007;PAB;1,702919901;-0,406158179;82,05220157;0;0;0;0;6,527533919
PAB2;TP;2008;PAB;-1,356866168;-0,500692056;52,54697515;9,470306225;0;30,50427207;0;0
PAB3;TP;2006;PAB;-0,499903099;-0,429839261;60,20426593;1,265917603;1,655881233;24,73548134;0;0
PAB3;TP;2007;PAB;-0,418568644;-0,561075734;61,09604568;0;0;24,49308932;0;0
PAB3;TP;2008;PAB;0,149971049;0,811480247;48,66873672;0;0,96052729;12,43483209;3,592534992;10,22648461
PAB5;PA;2006;PAB;-1,976184497;-0,096585728;39,35413246;0;0;41,31910235;0;0
PAB5;PA;2007;PAB;-3,391689386;0,364814879;10,14485981;24,8411215;0;28,99065421;0;0
PAB5;PA;2008;PAB;-1,121322398;0,079141578;36,31094756;0;0;20,3173873;0;0
PLE;PA;2006;UCR;-0,976142363;-0,690362265;56,78790845;30,28703853;0;9,478407629;0;1,06431459
PLE;PA;2007;UCR;-2,412742123;0,539094005;35,54638513;7,933832802;0;47,64453748;0;7,822565092
PLE;PA;2008;UCR;0,750858563;-1,0126338;78,26079467;8,401851852;0;5,691717305;0;0
PLE;TP;2006;UCR;-1,080647216;0,493038385;44,74729988;15,31196043;10,46968563;14,88769011;0;0
PLE;TP;2007;UCR;0,417681324;-0,896966904;75,77738254;0;0;17,82355052;0;0
PLE;TP;2008;UCR;0,20524001;0,824044647;60,68556668;0;17,22488038;12,68608385;0;0
PNO;RR;2006;ARC;0,0120664;-0,899671733;74,41590049;0;0;25,58409951;0;0
PNO;RR;2007;ARC;-0,161045251;-0,501731729;68,07837696;5,819057816;3,790149893;20,10400734;0;0
PNO;RR;2008;ARC;-1,254234549;-0,690010554;57,27988113;16,28793225;0;26,44681099;0;0
SGO;PA;2006;UCR;0,324813324;0,105522223;56,88958447;13,23102142;0;0;0;7,183515116
SGO;PA;2007;UCR;1,505263291;-0,329233431;79,6883182;3,781148091;0;0;0;7,312017323
SGO;PA;2008;UCR;0,158099132;-0,108937275;61,33487664;10,36832025;0;8,515821556;0;6,017478105
SGO;TP;2006;UCR;0,228100914;0,41038969;61,50063428;10,11871844;0,671763175;13,17361254;3,271700051;11,1964671
SGO;TP;2007;UCR;0,984011166;3,432657394;48,32728318;0;26,17386512;3,100488703;3,879859249;17,57198198
SGO;TP;2008;UCR;0,740253271;1,982763312;56,42594666;6,479817701;20,23133101;0,680160808;0;9,855058952
SIR;RR;2006;ARC;1,570974823;0,236153486;79,61664329;0;0;6,643291258;0;13,62786349
SIR;RR;2007;ARC;1,399806083;1,803027321;66,50479283;1,801996223;18,31669814;0;2,04735376;11,323123
SIR;RR;2008;ARC;-0,825081733;5,316146356;20,59379739;0;48,16854918;17,99485861;0;13,25884912
TIM1;PA;2006;TIM;-0,578944879;-0,401099632;60,97038403;23,79707692;0;12,37984357;0;4,79461592
TIM1;PA;2007;TIM;-2,024109523;-0,210335756;43,61127028;45,59886991;0;12,91315207;0;5,336929725
TIM1;PA;2008;TIM;-2,301905308;0,240489072;32,11130316;43,98023316;0;12,53719988;0;6,956521739
TIM1;TP;2006;TIM;-0,785618316;1,932401448;37,21428049;21,17760618;0;16,32376827;0;24,75646201
TIM1;TP;2007;TIM;1,425136358;0,981154657;69,91486616;9,503735326;0;0;0;20,53571429
TIM1;TP;2008;TIM;0,084797069;-0,27179905;67,83452529;8,910587476;0;16,57801418;0;6,235224586
TIM2;PA;2006;TIM;-1,172326416;-0,621037112;49,9257595;32,41756374;0;5,773480663;0;0
TIM2;PA;2007;TIM;0,362625177;-0,991389369;75,21116308;11,2215591;0;9,455282709;0;0
TIM2;PA;2008;TIM;0,147962657;-0,935986856;71,76397124;16,32713395;0;7,523900574;0;0,317612067
TIM2;TP;2006;TIM;0,310045413;-0,550899837;70,94667641;16,32571199;0;6,700130136;0;4,496757824
TIM2;TP;2007;TIM;0,619662904;-0,265629789;65,45756288;6,440568475;0;3,710889206;0;4,532572515
TIM2;TP;2008;TIM;-1,744054908;-0,236518598;45,05322997;0;0;40,74363593;0;0
TIM3;PA;2006;TIM;-0,160114762;0,119997798;58,39932542;10,43832391;0;14,80704465;0;8,174775333
TIM3;PA;2007;TIM;0,09885761;-0,285609064;61,97273285;8,497791737;0;10,18053946;0;3,960629921
TIM3;PA;2008;TIM;-1,999118923;0,244963398;34,65944807;30,86250524;0;17,87104551;0;6,032274079
TIM3;TP;2006;TIM;1,529160846;-1,324379363;92,05882353;7,897058824;0;0;0;0
TIM3;TP;2007;TIM;0,690945225;-1,189856921;80,65458796;19,3220339;0;0;0;0
TIM3;TP;2008;TIM;0,514308587;-1,043636226;81,2244898;0;0;20;0;0
